Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675714318.3393395,0,72718,0,GPS1_Frame,42.202228,-71.052086,25.0,1.2,330586.68082837807,4674268.195174573,0.0,19,T
1675714319.3186684,0,72719,0,GPS1_Frame,42.202223000000004,-71.052086,24.0,0.9,330586.6674650097,4674267.639975333,0.0,19,T
1675714320.3189716,0,72720,0,GPS1_Frame,42.20222,-71.052085,23.0,0.9,330586.742007138,4674267.304868606,0.0,19,T
1675714321.3400264,0,72721,0,GPS1_Frame,42.20221899999999,-71.05208300000001,22.1,0.9,330586.9044547639,4674267.189854399,0.0,19,T
1675714322.3384526,0,72722,0,GPS1_Frame,42.20221899999999,-71.052082,21.3,1.2,330586.98701491393,4674267.187867222,0.0,19,T
1675714323.315706,0,72723,0,GPS1_Frame,42.20222,-71.05208,20.7,1.2,330587.1548078796,4674267.2949327165,0.0,19,T
1675714324.3172462,0,72724,0,GPS1_Frame,42.202223000000004,-71.052082,20.2,1.2,330586.9977055869,4674267.632026616,0.0,19,T
1675714325.3369758,0,72725,0,GPS1_Frame,42.202225,-71.05208,19.6,1.2,330587.1681712081,4674267.850131957,0.0,19,T
1675714326.3204474,0,72726,0,GPS1_Frame,42.202228999999996,-71.052081,19.0,1.2,330587.0963017348,4674268.296278526,0.0,19,T
1675714327.3167958,0,72727,0,GPS1_Frame,42.202233,-71.052082,18.5,1.2,330587.02443227277,4674268.742425097,0.0,19,T
1675714328.314749,0,72728,0,GPS1_Frame,42.202237,-71.052082,17.8,1.2,330587.0351229486,4674269.18658449,0.0,19,T
1675714329.315709,0,72729,0,GPS1_Frame,42.202241,-71.05208300000001,17.5,1.2,330586.9632535039,4674269.632731062,0.0,19,T
1675714330.3157792,0,72730,0,GPS1_Frame,42.202245000000005,-71.05208400000001,17.0,1.2,330586.8913840704,4674270.078877635,0.0,19,T
1675714331.3162506,0,72731,0,GPS1_Frame,42.202248,-71.05208400000001,16.5,1.2,330586.89940208686,4674270.4119971795,0.0,19,T
1675714332.3168163,0,72732,0,GPS1_Frame,42.202251,-71.05208300000001,16.2,1.2,330586.9899802121,4674270.743129547,0.0,19,T
1675714333.3181574,0,72733,0,GPS1_Frame,42.202254999999994,-71.052081,15.9,1.2,330587.16579110315,4674271.183314584,0.0,19,T
1675714334.3162024,0,72734,0,GPS1_Frame,42.202257,-71.052079,15.9,1.2,330587.3362566394,4674271.401419931,0.0,19,T
1675714335.3143222,0,72735,0,GPS1_Frame,42.202259999999995,-71.052076,15.9,1.2,330587.59195493,4674271.728577958,0.0,19,T
1675714336.313313,0,72736,0,GPS1_Frame,42.202263,-71.052074,15.7,1.2,330587.7650931007,4674272.057723163,0.0,19,T
1675714337.315254,0,72737,0,GPS1_Frame,42.202266,-71.052071,15.6,1.2,330588.02079134696,4674272.384881203,0.0,19,T
1675714338.3159606,0,72738,0,GPS1_Frame,42.20227,-71.052067,15.2,1.2,330588.36172230414,4674272.821091938,0.0,19,T
1675714339.3142385,0,72739,0,GPS1_Frame,42.202273,-71.05206299999999,15.3,1.2,330588.6999805741,4674273.146262839,0.0,19,T
1675714340.3139474,0,72740,0,GPS1_Frame,42.202277,-71.05205799999999,15.5,1.2,330589.1234715307,4674273.580486449,0.0,19,T
1675714341.3154128,0,72741,0,GPS1_Frame,42.20228,-71.052053,15.9,1.2,330589.5442898002,4674273.903670236,0.0,19,T
1675714342.3152547,0,72742,0,GPS1_Frame,42.202284,-71.05204800000001,16.0,1.2,330589.96778065595,4674274.337893895,0.0,19,T
1675714343.3138695,0,72743,0,GPS1_Frame,42.202287,-71.05204300000001,16.0,1.2,330590.3885988437,4674274.6610777285,0.0,19,T
1675714344.335951,0,72744,0,GPS1_Frame,42.202290999999995,-71.05203800000001,15.9,1.2,330590.812089605,4674275.095301436,0.0,19,T
1675714345.3159008,0,72745,0,GPS1_Frame,42.202294,-71.05203300000001,16.0,1.2,330591.2329077089,4674275.418485319,0.0,19,T
1675714346.3171248,0,72746,0,GPS1_Frame,42.202298,-71.052027,16.0,1.2,330591.7389584204,4674275.85072195,0.0,19,T
1675714347.3156266,0,72747,0,GPS1_Frame,42.202302,-71.052021,15.8,1.2,330592.24500907,4674276.282958616,0.0,19,T
1675714348.315348,0,72748,0,GPS1_Frame,42.202304999999996,-71.05201299999999,16.0,1.2,330592.91350714746,4674276.600181241,0.0,19,T
1675714349.316549,0,72749,0,GPS1_Frame,42.20230899999999,-71.052006,16.1,0.9,330593.5021177005,4674277.030430881,0.0,19,T
1675714350.3364475,0,72750,0,GPS1_Frame,42.202313000000004,-71.052,15.8,1.2,330594.00816815835,4674277.462667672,0.0,19,T
1675714351.3153045,0,72751,0,GPS1_Frame,42.202317,-71.05199400000001,15.6,0.9,330594.51421854994,4674277.894904494,0.0,19,T
1675714352.314708,0,72752,0,GPS1_Frame,42.202321000000005,-71.05198800000001,15.3,1.2,330595.02026888385,4674278.32714135,0.0,19,T
1675714353.316047,0,72753,0,GPS1_Frame,42.202325,-71.05198299999999,15.1,1.2,330595.44375914236,4674278.761365325,0.0,19,T
1675714354.3151066,0,72754,0,GPS1_Frame,42.202329,-71.051977,14.9,1.2,330595.94980935554,4674279.193602244,0.0,19,T
1675714355.3148484,0,72755,0,GPS1_Frame,42.202332999999996,-71.05197199999999,14.8,1.2,330596.373299508,4674279.6278262725,0.0,19,T
1675714356.3158262,0,72756,0,GPS1_Frame,42.202335999999995,-71.051966,14.6,1.2,330596.8766770775,4674279.949023408,0.0,19,T
1675714357.318426,0,72757,0,GPS1_Frame,42.20234000000001,-71.05196099999999,14.4,0.9,330597.3001671282,4674280.383247488,0.0,19,T
1675714358.318583,0,72758,0,GPS1_Frame,42.202344000000004,-71.051955,14.1,0.9,330597.80621711176,4674280.815484537,0.0,19,T
1675714359.3161786,0,72759,0,GPS1_Frame,42.202348,-71.05195,13.9,1.2,330598.2297070521,4674281.24970867,0.0,19,T
1675714360.3159761,0,72760,0,GPS1_Frame,42.202351,-71.051945,13.7,0.9,330598.65052444476,4674281.572892978,0.0,19,T
1675714361.3159332,0,72761,0,GPS1_Frame,42.202356,-71.051939,13.6,1.2,330599.15924674936,4674282.11616997,0.0,19,T
1675714362.3177366,0,72762,0,GPS1_Frame,42.20236,-71.051935,13.3,1.2,330599.5001765648,4674282.552381217,0.0,19,T
1675714363.3189907,0,72763,0,GPS1_Frame,42.202365,-71.05193,13.0,0.9,330599.92633877695,4674283.097645296,0.0,19,T
1675714364.318299,0,72764,0,GPS1_Frame,42.202369,-71.051925,12.7,1.0,330600.34982845595,4674283.531869549,0.0,19,T
1675714365.339219,0,72765,0,GPS1_Frame,42.202372999999994,-71.05192000000001,12.4,1.0,330600.7733180793,4674283.966093829,0.0,19,T
1675714366.3201118,0,72766,0,GPS1_Frame,42.202377,-71.05191500000001,12.2,1.0,330601.1968076554,4674284.400318132,0.0,19,T
1675714367.3182557,0,72767,0,GPS1_Frame,42.202380999999995,-71.05191,11.9,1.0,330601.62029718,4674284.834542459,0.0,19,T
1675714368.3187425,0,72768,0,GPS1_Frame,42.20238500000001,-71.051905,11.7,1.0,330602.0437866512,4674285.26876681,0.0,19,T
1675714369.3395164,0,72769,0,GPS1_Frame,42.202389999999994,-71.0519,11.4,1.0,330602.46994851046,4674285.814031035,0.0,19,T
1675714370.3199453,0,72770,0,GPS1_Frame,42.202394000000005,-71.051895,11.2,1.0,330602.8934378724,4674286.248255436,0.0,19,T
1675714371.3188176,0,72771,0,GPS1_Frame,42.202398,-71.051889,11.0,1.0,330603.39948709856,4674286.680492869,0.0,19,T
1675714372.3383622,0,72772,0,GPS1_Frame,42.202403000000004,-71.05188299999999,10.8,1.0,330603.9082086831,4674287.223770185,0.0,19,T
1675714373.3382757,0,72773,0,GPS1_Frame,42.202406,-71.051876,10.7,1.0,330604.49414527026,4674287.542980859,0.0,19,T
1675714374.3191645,0,72774,0,GPS1_Frame,42.20241,-71.05187000000001,10.5,1.0,330605.0001943053,4674287.975218401,0.0,19,T
1675714375.3188212,0,72775,0,GPS1_Frame,42.202414,-71.051864,10.4,0.9,330605.5062432785,4674288.407455977,0.0,19,T
1675714376.338766,0,72776,0,GPS1_Frame,42.202417999999994,-71.051857,10.3,0.9,330606.09485207923,4674288.837706627,0.0,19,T
1675714377.3186064,0,72777,0,GPS1_Frame,42.202422,-71.051851,10.1,0.9,330606.60090092535,4674289.269944281,0.0,19,T
1675714378.3186793,0,72778,0,GPS1_Frame,42.202425999999996,-71.051845,10.0,0.9,330607.1069497054,4674289.702181968,0.0,19,T
1675714379.3142767,0,72779,0,GPS1_Frame,42.20243000000001,-71.05184,9.9,0.9,330607.5304385519,4674290.136406635,0.0,19,T
1675714380.316917,0,72780,0,GPS1_Frame,42.202434000000004,-71.051835,9.8,0.9,330607.95392734907,4674290.570631325,0.0,19,T
1675714381.3173428,0,72781,0,GPS1_Frame,42.202439000000005,-71.05183000000001,9.6,0.9,330608.38008844364,4674291.115895892,0.0,19,T
1675714382.317234,0,72782,0,GPS1_Frame,42.202443,-71.05182500000001,9.4,0.9,330608.8035771294,4674291.550120629,0.0,19,T
1675714383.3161266,0,72783,0,GPS1_Frame,42.202447,-71.05182,9.2,0.9,330609.2270657659,4674291.984345393,0.0,19,T
1675714384.3157592,0,72784,0,GPS1_Frame,42.20245,-71.051815,9.2,0.9,330609.64788201684,4674292.30753033,0.0,19,T
1675714385.3176792,0,72785,0,GPS1_Frame,42.202453999999996,-71.051809,9.0,0.9,330610.1539303948,4674292.739768227,0.0,19,T
1675714386.3189392,0,72786,0,GPS1_Frame,42.202458,-71.051804,8.9,0.9,330610.57741887803,4674293.173993067,0.0,19,T
1675714387.314989,0,72787,0,GPS1_Frame,42.202462,-71.051799,8.8,0.9,330611.00090730767,4674293.608217931,0.0,19,T
1675714388.3153813,0,72788,0,GPS1_Frame,42.202465000000004,-71.05179299999999,8.7,0.9,330611.50428321044,4674293.929416072,0.0,19,T
1675714389.316091,0,72789,0,GPS1_Frame,42.202469,-71.05178799999999,8.9,0.9,330611.92777153826,4674294.363640989,0.0,19,T
1675714390.3179026,0,72790,0,GPS1_Frame,42.202473,-71.051782,9.0,0.9,330612.43381963205,4674294.795879042,0.0,19,T
1675714391.3156443,0,72791,0,GPS1_Frame,42.202476,-71.051776,9.0,0.9,330612.9371953793,4674295.11707728,0.0,19,T
1675714392.317725,0,72792,0,GPS1_Frame,42.202479000000004,-71.05177,9.1,0.9,330613.440571084,4674295.438275554,0.0,19,T
1675714393.3175964,0,72793,0,GPS1_Frame,42.202483,-71.051765,9.1,0.9,330613.86405920296,4674295.8725005835,0.0,19,T
1675714394.3174021,0,72794,0,GPS1_Frame,42.202486,-71.051759,9.1,0.9,330614.3674348085,4674296.193698921,0.0,19,T
1675714395.3172457,0,72795,0,GPS1_Frame,42.20249,-71.05175299999999,9.0,0.9,330614.87348262075,4674296.625937142,0.0,19,T
1675714396.3164544,0,72796,0,GPS1_Frame,42.202493999999994,-71.05174699999999,8.9,0.9,330615.3795303731,4674297.058175398,0.0,19,T
1675714397.3175268,0,72797,0,GPS1_Frame,42.202498,-71.05174099999999,8.9,0.9,330615.88557805936,4674297.490413689,0.0,19,T
1675714398.3176792,0,72798,0,GPS1_Frame,42.202502,-71.051734,8.8,0.9,330616.474185465,4674297.920665174,0.0,19,T
1675714399.3162394,0,72799,0,GPS1_Frame,42.202504,-71.05172300000001,8.8,0.9,330617.3876874626,4674298.12088967,0.0,19,T
1675714400.317335,0,72800,0,GPS1_Frame,42.202507,-71.051712,8.8,0.9,330618.3038616051,4674298.432154136,0.0,19,T
1675714401.317387,0,72801,0,GPS1_Frame,42.202509,-71.051699,9.1,0.9,330619.3824830129,4674298.628405248,0.0,19,T
1675714402.3260858,0,72802,0,GPS1_Frame,42.202511,-71.051686,9.4,0.9,330620.46110435016,4674298.824656525,0.0,19,T
1675714403.3147948,0,72803,0,GPS1_Frame,42.202512999999996,-71.051675,9.5,0.9,330621.3746060938,4674299.024881531,0.0,19,T
1675714404.316422,0,72804,0,GPS1_Frame,42.202515999999996,-71.051664,9.8,0.9,330622.2907799161,4674299.3361465065,0.0,19,T
1675714405.3165572,0,72805,0,GPS1_Frame,42.202519,-71.051655,9.9,0.9,330623.0418341409,4674299.6513851285,0.0,19,T
1675714406.3188,0,72806,0,GPS1_Frame,42.202522,-71.051646,10.0,0.9,330623.7928882932,4674299.966623827,0.0,19,T
1675714407.3174517,0,72807,0,GPS1_Frame,42.202526,-71.05163800000001,10.0,0.9,330624.46405473363,4674300.394889203,0.0,19,T
1675714408.3183026,0,72808,0,GPS1_Frame,42.202529000000006,-71.051632,10.0,0.9,330624.967429509,4674300.716088278,0.0,19,T
1675714409.3198035,0,72809,0,GPS1_Frame,42.202533,-71.051625,10.1,0.9,330625.5560360659,4674301.146340498,0.0,19,T
1675714410.3202426,0,72810,0,GPS1_Frame,42.202537,-71.05162,10.1,0.9,330625.9795230841,4674301.580566229,0.0,19,T
1675714411.3179727,0,72811,0,GPS1_Frame,42.202541000000004,-71.051616,10.1,0.9,330626.3204503253,4674302.016778709,0.0,19,T
1675714412.317406,0,72812,0,GPS1_Frame,42.202545,-71.05161,10.3,0.9,330626.8264969685,4674302.449017761,0.0,19,T
1675714413.3191772,0,72813,0,GPS1_Frame,42.20255,-71.051605,10.4,0.9,330627.252655898,4674302.9942834135,0.0,19,T
1675714414.3195643,0,72814,0,GPS1_Frame,42.202554,-71.05160000000001,10.5,0.9,330627.6761427021,4674303.428509241,0.0,19,T
1675714415.3181367,0,72815,0,GPS1_Frame,42.202557999999996,-71.051596,10.6,0.9,330628.0170697513,4674303.8647218,0.0,19,T
1675714416.3389843,0,72816,0,GPS1_Frame,42.202562,-71.051591,10.6,0.9,330628.4405564619,4674304.2989476705,0.0,19,T
1675714417.319589,0,72817,0,GPS1_Frame,42.20256500000001,-71.051586,10.6,0.9,330628.86137107963,4674304.622133717,0.0,19,T
