Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance,raw_data
1678246326.9586692,171,1678245895,842408895,imu1_frame,0,0,0,,0.29167371532939806,0.22382789129294678,0.05750994846847634,-0.9281810839984037,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.094686,1.742299,-0.63657,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.61,-2.015,-17.9,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.122,-0.0414,0.0856,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-144.748,+026.683,+001.527,-00.1220,-00.0414,+00.0856,+03.610,-02.015,-17.900,+00.094686,+01.742299,-00.636570*6C
"
1678246326.9834378,172,1678245895,842408895,imu1_frame,0,0,0,,0.28097377383694433,0.24439263042030868,0.065932708026745,-0.9257315262128263,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.093613,1.928611,-0.958226,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.353,-2.673,-18.256,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0946,-0.0598,0.1184,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-145.970,+029.310,+001.003,-00.0946,-00.0598,+00.1184,+04.353,-02.673,-18.256,+00.093613,+01.928611,-00.958226*69
"
1678246327.0080788,173,1678245895,842408895,imu1_frame,0,0,0,,0.2644774544168237,0.2684957042995182,0.07523388235506451,-0.923201817493709,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.239187,2.234519,-1.25749,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.204,1.954,-16.297,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1029,-0.0786,0.1306,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-147.967,+032.381,+000.211,-00.1029,-00.0786,+00.1306,+04.204,+01.954,-16.297,+00.239187,+02.234519,-01.257490*6C
"
1678246327.0333474,174,1678245895,842408895,imu1_frame,0,0,0,,0.25001863979585226,0.2957317763343889,0.08148296297652485,-0.918364809302548,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.434236,2.455007,-0.639799,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.374,3.929,-15.353,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1064,-0.0708,0.1229,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-149.582,+035.727,-000.126,-00.1064,-00.0708,+00.1229,+03.374,+03.929,-15.353,+00.434236,+02.455007,-00.639799*65
"
1678246327.059248,175,1678245895,842408895,imu1_frame,0,0,0,,0.2404983897584336,0.3281335878373903,0.08850111136772267,-0.9092064816878729,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.174704,3.022341,-0.394378,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.966,1.196,-13.102,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1155,-0.0566,0.1217,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-150.451,+039.736,-000.231,-00.1155,-00.0566,+00.1217,+01.966,+01.196,-13.102,+00.174704,+03.022341,-00.394378*62
"
1678246327.083545,176,1678245895,842408895,imu1_frame,0,0,0,,0.23294269762437278,0.3635574110162448,0.09929543359171525,-0.8964954686926637,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.053018,3.243268,-0.367317,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.64,-1.009,-9.165,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1284,-0.0508,0.1151,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-151.151,+044.276,-000.693,-00.1284,-00.0508,+00.1151,+00.640,-01.009,-09.165,-00.053018,+03.243268,-00.367317*64
"
1678246327.1084893,177,1678245895,842408895,imu1_frame,0,0,0,,0.22289752295696563,0.3971005419290946,0.10984899699771897,-0.8834936625227504,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.151568,2.864678,-0.571434,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.419,-0.011,-4.421,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.116,-0.0559,0.1152,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-152.350,+048.646,-001.481,-00.1160,-00.0559,+00.1152,-00.419,-00.011,-04.421,+00.151568,+02.864678,-00.571434*62
"
1678246327.1522818,178,1678245895,842408895,imu1_frame,0,0,0,,0.21327068791890466,0.42561974522371104,0.11642783269341274,-0.8716696655985084,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.244143,2.45938,-0.347564,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.585,0.114,-2.404,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1252,-0.0531,0.1306,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-153.491,+052.341,-002.010,-00.1252,-00.0531,+00.1306,-00.585,+00.114,-02.404,+00.244143,+02.459380,-00.347564*6A
"
1678246327.1963675,179,1678245895,842408895,imu1_frame,0,0,0,,0.20764666245286106,0.45168624886892106,0.12417463205642816,-0.8587450476762949,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.238592,2.484369,-0.086404,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.352,0.605,0.071,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1434,-0.0606,0.1257,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-154.202,+055.826,-002.621,-00.1434,-00.0606,+00.1257,-00.352,+00.605,+00.071,-00.238592,+02.484369,-00.086404*6E
"
1678246327.1963763,180,1678245895,842408895,imu1_frame,0,0,0,,0.20740546261310233,0.47587187362952627,0.13456421158028248,-0.8440505950050307,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.496122,2.163036,0.17401,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.432,0.475,6.485,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1547,-0.0621,0.1215,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-154.284,+059.220,-003.334,-00.1547,-00.0621,+00.1215,-00.432,+00.475,+06.485,-00.496122,+02.163036,+00.174010*68
"
1678246327.2403038,181,1678245895,842408895,imu1_frame,0,0,0,,0.2081687050503248,0.4919212729809813,0.14017854488269577,-0.8336841290207055,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.074254,1.128886,0.189148,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.937,-0.416,11.321,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1636,-0.0625,0.1141,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-154.025,+061.471,-003.472,-00.1636,-00.0625,+00.1141,-00.937,-00.416,+11.321,-00.074254,+01.128886,+00.189148*61
"
1678246327.2403095,182,1678245895,842408895,imu1_frame,0,0,0,,0.20796146853925568,0.4977210379682173,0.14140821968212547,-0.8300780152330072,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.104452,0.243817,0.020202,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.579,-1.082,11.926,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1682,-0.0591,0.1118,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-153.935,+062.265,-003.418,-00.1682,-00.0591,+00.1118,-02.579,-01.082,+11.926,-00.104452,+00.243817,+00.020202*62
"
1678246327.2842908,183,1678245895,842408895,imu1_frame,0,0,0,,0.20980542695072718,0.49542323630334123,0.14585803607049985,-0.8302186055891568,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.52741,-0.3724,-0.139234,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.812,-1.2,13.127,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1679,-0.0642,0.1131,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-154.168,+062.107,-004.205,-00.1679,-00.0642,+00.1131,-03.812,-01.200,+13.127,-00.527410,-00.372400,-00.139234*69
"
1678246327.2842996,184,1678245895,842408895,imu1_frame,0,0,0,,0.21130376391137387,0.4843265951899404,0.1486720661057046,-0.8358678635457086,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.196135,-1.321368,-0.291698,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.742,-0.546,13.12,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1629,-0.0658,0.1166,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-154.646,+060.750,-005.150,-00.1629,-00.0658,+00.1166,-03.742,-00.546,+13.120,-00.196135,-01.321368,-00.291698*62
"
1678246327.3283656,185,1678245895,842408895,imu1_frame,0,0,0,,0.2139031473742028,0.4639961559543452,0.1484895174189519,-0.8467017621451417,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.458593,-2.065029,-0.173287,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.378,1.577,10.151,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.153,-0.0669,0.1212,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-154.845,+058.131,-005.756,-00.1530,-00.0669,+00.1212,-04.378,+01.577,+10.151,-00.458593,-02.065029,-00.173287*6A
"
1678246327.3336487,186,1678245895,842408895,imu1_frame,0,0,0,,0.2223050279307338,0.4371212033855449,0.14960472344657394,-0.8585592319869159,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.83693,-2.529521,0.11197,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.431,2.346,6.716,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1409,-0.0639,0.1246,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-154.197,+054.796,-006.228,-00.1409,-00.0639,+00.1246,-05.431,+02.346,+06.716,-00.836930,-02.529521,+00.111970*65
"
1678246327.376346,187,1678245895,842408895,imu1_frame,0,0,0,,0.2343341634191167,0.40466474896371213,0.15081483561576856,-0.8709700489448459,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.894658,-2.95299,0.106937,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.974,0.81,3.707,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1172,-0.0632,0.1227,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-153.045,+050.858,-006.646,-00.1172,-00.0632,+00.1227,-04.974,+00.810,+03.707,-00.894658,-02.952990,+00.106937*64
"
1678246327.420342,188,1678245895,842408895,imu1_frame,0,0,0,,0.2445176057290312,0.36748862339718624,0.14461796887672074,-0.8855782829542259,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001317,-3.590089,0.27806,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.119,0.988,2.429,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1285,-0.057,0.1027,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-151.834,+046.187,-006.338,-00.1285,-00.0570,+00.1027,-04.119,+00.988,+02.429,-00.001317,-03.590089,+00.278060*60
"
